element,mean_contribution,std_contribution,n_compositions_containing,reliable
Au,17.37549311319987,0.7014959858755853,15,False
Sr,13.046703036874533,1.695472052880438,256,True
La,13.033034966005916,1.9155122356349146,171,True
Si,13.001946114434137,1.709764199542889,225,True
Ho,12.902246200121366,0.5935365947082378,52,True
Ru,12.86402440071106,0.4142356466633029,24,False
Rb,12.786342244752696,1.75537221462811,71,True
Ba,12.499073028564453,2.6476812188721186,516,True
Ce,12.416189865632491,2.362850479738383,88,True
Lu,12.331576744715372,0.2262133215674205,12,False
Co,11.970216606991201,4.052275644432102,632,True
Gd,11.837802039910548,1.0634500681523404,161,True
Nd,11.796670639514923,0.7070882661266635,80,True
Mg,11.771725875033995,1.921028457074952,623,True
Tl,11.642935256435447,2.2163939897906997,146,True
Cr,11.429542600738335,1.4915764420347524,161,True
Ga,11.419278710387474,1.86922385303332,258,True
Mo,11.409100484848022,1.4075806858646693,100,True
Cl,11.347959867337854,1.5933930302785027,123,True
In,11.321971010380857,2.319115539271169,519,True
Tb,11.296656608581543,1.1720413827521676,17,False
K,11.22568823893865,3.197250356571858,72,True
Pd,11.020703622273036,0.2546471926629039,28,False
P,10.929410124724766,0.3914436269829107,53,True
Yb,10.913812928586394,3.1207872539979022,370,True
Sm,10.879561092542565,1.2402321182957605,23,False
Dy,10.80204865137736,1.949882194673733,45,True
Br,10.749610682896206,1.2891603422232794,35,True
Sb,10.678953130427157,2.776060062477222,2529,True
Ca,10.616321706458143,1.8497335572672733,608,True
Er,10.49028476508888,1.7939329410417493,37,True
S,10.466063140535963,1.687196963799872,1019,True
Fe,10.448487758636475,3.5534551051268752,334,True
Og,10.431828253451918,2.519695045264349,7594,True
N,10.399473871503558,0.41779557138457324,7,False
Li,10.308572226974565,1.93604169447735,197,True
Cu,10.245532132031625,2.585964315795338,1938,True
Bi,10.211554625315696,2.6751644691585774,1610,True
Tm,10.192655944824219,0.6382102602833223,10,False
I,10.185917262158362,2.217268253442391,153,True
Te,10.139630640529294,2.1404164818364877,2601,True
Al,10.032214644054571,1.6668030267866447,192,True
Se,10.022941069435014,2.459774483421017,2612,True
Mn,10.017297771298656,1.9341232992339608,467,True
Pr,9.9656021454755,0.13218488170428286,17,False
Cs,9.949487395908521,0.45211763403634664,23,False
Ag,9.946912934217043,2.34115539970783,1139,True
Ge,9.93040241925947,2.2543564200168356,992,True
Y,9.88184834781446,2.299538440052146,38,True
Ti,9.81724376761757,3.0020480031274692,458,True
O,9.805227030182637,2.86912193168304,1013,True
B,9.753155708312988,0.0,1,False
Rh,9.6549072265625,0.5042092594503154,3,False
Zn,9.316917432300627,1.524558262831079,630,True
V,9.287395769549954,2.1647884279561196,31,True
Cd,9.277729115065407,1.2055082317014936,272,True
Pb,9.118877618706899,1.8870073832260004,1083,True
Sn,9.053929680912056,1.9690060324018253,1608,True
As,8.9471484820048,1.746766696666057,78,True
Ni,8.873550688634154,2.837918520746499,488,True
Na,8.802718576983871,2.102439679839222,214,True
Sc,8.796340231863867,0.6494368783579824,151,True
Hg,8.773341751098632,1.992133684272026,10,False
Nb,8.754904544959635,2.75973175364597,354,True
Eu,8.64711170811807,1.1785242456996083,62,True
Hf,6.590215761521283,1.0448066767294708,85,True
Zr,6.57001314794316,0.9761722368763359,136,True
Ta,6.5146268658016036,0.7692265482582904,92,True
F,4.902173727750778,0.19570791097652615,32,True
