model,run,fold,mae,rmse,r2,n_train,n_test,group_overlap
Arm A: composition-only,1,1,0.22381551683209505,0.3281286470198287,0.2952386987023473,4557,1164,0
Arm A: composition-only,1,2,0.226735437776064,0.3587412024574115,0.1224600596030001,4576,1145,0
Arm A: composition-only,1,3,0.18514260220016254,0.2722863065167468,0.2978943750801212,4612,1109,0
Arm A: composition-only,1,4,0.23205883490726445,0.41167500443788974,0.18293116002405496,4514,1207,0
Arm A: composition-only,1,5,0.20037030466816547,0.31968873180129265,0.29779362573651946,4625,1096,0
Arm B: composition+structure,1,1,0.22056687756164242,0.332583243114685,0.27597346828609837,4557,1164,0
Arm B: composition+structure,1,2,0.21643983865592586,0.3356258014535788,0.23190479614228987,4576,1145,0
Arm B: composition+structure,1,3,0.19550365292868568,0.28133380999634006,0.25046018693977334,4612,1109,0
Arm B: composition+structure,1,4,0.22607575352261813,0.38883986063474657,0.271060963669876,4514,1207,0
Arm B: composition+structure,1,5,0.20115882279492134,0.33169283550477463,0.2440687631551428,4625,1096,0
