model,run,fold,mae,rmse,r2,n_train,n_test,group_overlap
Arm A permutation,1,1,0.2850992358131128,0.4137945249848831,-0.1022739531213046,4557,1164,0
Arm A permutation,1,2,0.2717735692398773,0.4014327265141849,-0.09197420250296484,4576,1145,0
Arm A permutation,1,3,0.28618736915887083,0.4172219651633783,-0.15374469121714385,4612,1109,0
Arm A permutation,1,4,0.2818830571571524,0.4228519086421249,-0.12203813056761414,4514,1207,0
Arm A permutation,1,5,0.29636662531403746,0.41018967273564605,-0.09868159898760909,4625,1096,0
Arm B permutation,1,1,0.28251899927038976,0.426042379788822,-0.16849179903919675,4557,1164,0
Arm B permutation,1,2,0.27425174500981164,0.40006750770172916,-0.08455951681333929,4576,1145,0
Arm B permutation,1,3,0.28969272324500117,0.4209603024036543,-0.1745125792109148,4612,1109,0
Arm B permutation,1,4,0.28287394198120974,0.422648951181622,-0.12096129324581506,4514,1207,0
Arm B permutation,1,5,0.28942064469317247,0.4115048241196701,-0.10573808575657706,4625,1096,0
